"","BQ12_10_Probe_3A_S29","BQ12_3_Probe_4A_50_S27","BQ12_8_Probe_4A_50_S28","S_250754_Probe_4A_50_S24","S_349941_Probe_3D_25_S21","S_351946_Probe_4A_100_S22","S_503557_Probe_3D_10_S25","S_575533_Probe_3A_S26","S_687338_Probe_4A_100_S23","Saliva_1e6_1_Probe_3D_25_S11","Saliva_1e6_2_Probe_3D_10_S12","Saliva_1e6_3_Probe_1_S13","Saliva_1e6_4_Probe_4A_100_S14","Saliva_1e6_5_Probe_4A_50_S15","Saliva_1e6_6_Probe_None_S42","Saliva_1e6_7_Probe_4B_25_S43","Saliva_1e6_8_Probe_4A_10_S44","Saliva_1e8_1_Probe_4A_25_16hr_S16","Saliva_1e8_2_Probe_4A_10_16hr_S17","Saliva_1e8_3_Probe_3A_S18","Saliva_1e8_4_Probe_4A_25_S19","Saliva_1e8_5_Probe_4A_10_S20","THP1_1e6_1_Probe_3D_100_S1","THP1_1e6_2_Probe_3D_50_S2","THP1_1e6_3_Probe_3D_25_S3","THP1_1e6_4_Probe_3D_10_S4","THP1_1e6_5_Probe_1_S5","THP1_1e6_6_Probe_None_S36","THP1_1e6_7_Probe_4A_100_S37","THP1_1e6_8_Probe_4A_50_S38","THP1_1e6_EukmRNADep_1_Probe_4A_50_S30","THP1_1e6_EukmRNADep_2_Probe_4A_25_S31","THP1_1e6_EukmRNADep_3_Probe_4A_10_S32","THP1_1e8_1_Probe_4A_25_16hr_S6","THP1_1e8_2_Probe_4A_10_16hr_S7","THP1_1e8_3_Probe_3A_S8","THP1_1e8_4_Probe_4A_25_S9","THP1_1e8_5_Probe_4A_10_S10","THP1_1e8_6_Probe_None_S39","THP1_1e8_7_Probe_1_S40","THP1_1e8_8_Probe_4A_50_S41","THP1_1e8_EukmRNADep_1_Probe_4A_50_S33","THP1_1e8_EukmRNADep_2_Probe_4A_25_S34","THP1_1e8_EukmRNADep_3_Probe_4A_10_S35","Undetermined_S0"
"Rv1453",82.08664527,0,191.33265543,85.51493193,224.14080699,0,102.22062171,48.08410227,0,65.96706246,69.58643046,67.69123002,61.67092587,69.80749578,79.47236157,60.95787489,55.92881628,104.34700041,94.35168987,88.15955445,87.20237355,99.83929047,79.93640358,80.39654235,83.7262722,75.16362816,75.55856508,332.87930724,78.97957752,68.21541741,77.80949262,71.07826653,93.88365591,79.91804061,72.68790948,86.19560376,77.78962158,82.3095735,52.87985358,80.32894533,99.77976606,87.47151969,84.25773381,84.24806442,82.77157518
"Rv1454c",215.72831685,100.1743772,222.958522,236.6321791,38.5017893,18.54251115,269.46984745,96.9537973,0,197.7769621,204.98795685,222.9705285,229.31901995,226.4094084,254.46150415,204.6645454,182.9794966,307.12223145,293.27917355,285.708857,267.84853335,289.7740396,231.502784,222.02321565,243.7055357,224.6034125,227.9877174,525.35695975,225.03444585,168.6160115,186.38443085,188.1257008,186.8656732,249.48579225,241.5476402,230.97788165,214.88611545,225.78736255,500.73643085,229.23955875,222.8052754,233.1273726,220.68307195,219.79590075,230.86021795
"Rv1455",58.74915535,149.40553876,116.27560173,34.41021214,111.64474867,0,22.19382517,36.12753271,0,24.61461644,20.09972694,23.52782175,20.40262459,24.01276972,52.84685953,20.7747263,20.30640393,38.42300852,37.33569428,32.49109835,33.29868687,37.64191705,31.69192654,23.86521752,21.1269812,25.08917341,30.46204778,0,20.42008147,24.26495929,16.52314474,33.78831079,33.69416833,20.00007725,23.21806604,22.76730446,18.828492,22.03058256,0,21.48702935,25.04657031,25.61298372,24.03188916,29.50753052,33.01179136
"Rv1456c",37.1034912,461.7781128,107.0057688,104.777304,30.83856,0,70.6194168,19.0386288,0,38.1853008,34.351932,37.62816,36.9542184,36.8422392,76.7172648,32.1114624,31.759584,66.8604384,64.3950264,59.4233664,53.4195888,63.5686632,40.7860128,40.2275928,37.9412688,54.5210784,42.140784,501.027216,27.8337192,23.2493616,34.9459728,45.90114,46.6762368,37.2155688,42.3232176,43.5699456,41.266992,44.1813048,0,46.5459552,40.626408,45.1702248,40.7240208,43.1978952,52.895904
"Rv1457c",46.31747232,0,147.56373002,80.53858819,1.87540329,0,70.52001668,43.60262969,0,85.52732201,90.45528904,79.40064899,92.4115404,78.76202245,104.30018111,78.79109847,88.80444048,118.61060327,114.73784475,102.22919452,96.94060117,121.66682766,77.75816763,73.70425923,81.20848714,73.68773401,91.81610953,0,77.12069158,121.64465458,68.87512975,60.50709303,68.46586908,93.75405764,98.0207021,93.26551775,87.78092274,86.86011238,0,82.36127812,72.48055623,63.21304551,83.9470717,89.44358997,93.75625403
"Rv1458c",90.48066192,0,163.61445261,153.97662009,26.74345569,0,240.89846097,64.38648774,0,102.83139024,106.34075268,101.28077154,100.99015647,103.58957226,31.75434459,113.61455571,129.20308212,140.57443857,136.2987426,132.30166341,123.12544449,134.21085696,107.88212079,112.85188578,126.23355114,110.69897124,94.40804112,0,113.745621,134.06064936,104.19965325,124.67679591,125.4618138,120.68008308,100.70494521,115.5050649,123.32996496,111.6903414,66.92994204,135.78483111,125.53554375,117.65862057,128.75786313,145.61097267,121.93184361
"Rv1459c",94.51433854,177.3027208,121.94722806,178.5021645,86.36461034,0,158.51241627,12.29911395,0,119.83344934,113.37287854,121.68746688,117.85614156,118.37982091,137.97181617,123.00766607,121.88882742,158.71235735,152.84218052,136.13108072,133.11452544,152.34942512,116.18858023,115.58348471,98.00225593,103.07895462,102.12497611,0,134.63496988,115.91016329,101.26437779,86.19457931,84.18563785,115.78565637,114.38069514,112.98060063,109.18668822,115.47084042,46.28483917,130.17168069,124.90477436,98.3452583,114.14050223,107.50462812,123.71242796
"Rv1460",315.226581,464.5119975,240.0532365,297.8011575,1596.1222095,0,251.3927175,3802.1018655,0,217.352442,217.8616185,244.0201485,236.7668595,168.347958,157.120941,195.89397,183.3890595,220.9207245,222.0551625,220.4893995,215.0214765,238.3241025,174.101088,156.673002,186.4579635,197.298492,174.4121745,626.9370645,173.609484,178.8133935,220.256697,209.8832775,227.7752775,173.4323745,171.1656285,185.720025,187.6460775,170.655813,497.9634345,162.780777,147.7982505,211.0671315,190.3927125,204.528564,224.881779
"Rv1461",292.73240529,0,265.13642253,620.89622748,1312.73317173,2080.02241959,651.50471964,1034.59941027,1778.08537233,262.58810727,256.22517531,258.2125974,260.75063172,275.9423694,259.97374182,262.29636135,260.92792944,276.16195476,268.73271474,243.939549,250.97452467,269.22804267,259.58878851,238.66300203,234.08061249,239.56714281,225.05385018,181.33017624,244.79509779,216.72066336,263.94810105,211.86427707,240.13026675,235.74370002,223.75486311,215.98353936,231.20902956,224.25116094,115.22150127,227.37181419,240.32065812,230.58945744,234.62162271,233.12351517,266.85178767
"Rv1462",360.17232375,396.4710653,319.71676165,894.40967145,1260.7994849,0,746.96982825,2734.58472365,8.82928315,292.30587395,288.97034255,332.52935215,344.0031124,308.06339125,271.6517062,265.9025822,244.5700538,328.565635,318.54214925,326.8063151,302.67248805,327.254291,319.54464775,301.07268835,323.94044875,292.0195172,303.8627926,0,256.0071324,274.518672,255.91188005,263.72816995,290.8035255,293.1723405,263.06790025,278.8555025,244.3031873,263.1417633,252.6909913,230.77685385,228.87060745,240.5286755,241.03352295,261.69898505,305.60941885
