"","BQ12_10_Probe_3A_S29","BQ12_3_Probe_4A_50_S27","BQ12_8_Probe_4A_50_S28","S_250754_Probe_4A_50_S24","S_349941_Probe_3D_25_S21","S_351946_Probe_4A_100_S22","S_503557_Probe_3D_10_S25","S_575533_Probe_3A_S26","S_687338_Probe_4A_100_S23","Saliva_1e6_1_Probe_3D_25_S11","Saliva_1e6_2_Probe_3D_10_S12","Saliva_1e6_3_Probe_1_S13","Saliva_1e6_4_Probe_4A_100_S14","Saliva_1e6_5_Probe_4A_50_S15","Saliva_1e6_6_Probe_None_S42","Saliva_1e6_7_Probe_4B_25_S43","Saliva_1e6_8_Probe_4A_10_S44","Saliva_1e8_1_Probe_4A_25_16hr_S16","Saliva_1e8_2_Probe_4A_10_16hr_S17","Saliva_1e8_3_Probe_3A_S18","Saliva_1e8_4_Probe_4A_25_S19","Saliva_1e8_5_Probe_4A_10_S20","THP1_1e6_1_Probe_3D_100_S1","THP1_1e6_2_Probe_3D_50_S2","THP1_1e6_3_Probe_3D_25_S3","THP1_1e6_4_Probe_3D_10_S4","THP1_1e6_5_Probe_1_S5","THP1_1e6_6_Probe_None_S36","THP1_1e6_7_Probe_4A_100_S37","THP1_1e6_8_Probe_4A_50_S38","THP1_1e6_EukmRNADep_1_Probe_4A_50_S30","THP1_1e6_EukmRNADep_2_Probe_4A_25_S31","THP1_1e6_EukmRNADep_3_Probe_4A_10_S32","THP1_1e8_1_Probe_4A_25_16hr_S6","THP1_1e8_2_Probe_4A_10_16hr_S7","THP1_1e8_3_Probe_3A_S8","THP1_1e8_4_Probe_4A_25_S9","THP1_1e8_5_Probe_4A_10_S10","THP1_1e8_6_Probe_None_S39","THP1_1e8_7_Probe_1_S40","THP1_1e8_8_Probe_4A_50_S41","THP1_1e8_EukmRNADep_1_Probe_4A_50_S33","THP1_1e8_EukmRNADep_2_Probe_4A_25_S34","THP1_1e8_EukmRNADep_3_Probe_4A_10_S35","Undetermined_S0"
"Rv1966",28.304376,0,67.460868,5.667624,46.121132,0,4.4004,92.33012,0,6.438568,5.930964,6.623552,7.728972,6.480748,9.429548,5.871532,8.301556,10.543252,9.9332,9.065812,7.987372,10.261368,6.891832,5.401624,4.708428,7.044516,5.619516,0,6.750624,5.614272,5.432252,7.535932,5.558032,7.2599,6.758832,6.488652,5.690424,6.088892,0,6.212392,7.843352,8.152216,5.857244,5.828136,8.941628
"Rv1967",32.37941952,122.48055712,69.53277264,13.51143152,70.11782352,0,2.3279664,51.99892208,0,8.48032416,8.89939696,8.7631376,8.64824464,9.095288,14.96580352,7.96131488,9.83407984,15.17626256,15.4537344,14.1037664,11.76366,14.55042128,8.65310064,7.91799936,4.03009152,14.45398112,6.37456832,0,8.0692152,2.75160384,10.47546032,5.31547472,10.44273088,8.14341488,10.36474352,4.6093152,9.49649072,7.60245648,49.61880224,8.36086656,8.59395456,7.60410752,9.67528864,9.36897216,12.7402016
"Rv1968",36.494,0,74.5329,10.2688,159.2645,14.1882,3.2007,180.3413,0,5.2834,5.6866,6.7191,7.2213,5.6761,0,5.6417,5.5173,10.9142,9.2654,10.1592,8.7038,10.4038,7.0396,8.1438,7.2301,4.1075,5.8511,0,1.2231,1.2897,7.7843,11.036,4.6945,6.8432,7.158,3.3006,7.3119,6.0366,42.6373,3.7178,9.3054,7.5048,5.0437,6.7218,10.0993
"Rv1969",32.70181664,97.11583344,64.64305172,4.22800976,55.82003492,0,7.60020816,82.95569392,0,5.13622168,4.59191328,5.7650284,7.03453348,5.3144996,12.05193544,5.90937164,4.98317724,13.98698564,13.27261712,11.77388376,10.28636528,13.37915848,8.42024792,8.30423192,7.195409,7.08480708,6.20530912,0,10.37840464,5.84179232,2.22982752,5.86335196,2.60784632,8.80696792,9.55285412,11.13550572,10.58249612,9.6950704,0,8.8689398,10.45139804,6.60624108,7.26395512,7.75866668,11.01455904
"Rv1970",26.2455855,14.4980835,67.911483,0.593835,83.4885345,7.057761,13.4903025,138.0565725,0,5.771637,7.423944,7.7658795,6.6116985,6.742086,0,6.563478,4.5547785,13.462029,13.2827805,11.1791955,11.024103,13.7968275,9.141582,13.731405,8.0868615,4.6631145,5.4108525,0,11.897379,4.8404415,8.212857,4.79826,7.8681765,8.843841,7.508673,8.537682,6.26958,6.94485,0,5.716371,5.3096535,7.078806,7.198671,8.4998925,10.1073645
"Rv1971",21.856743,0,102.57939725,9.89003325,111.55032075,6.473738,6.57186325,37.655978,0,6.56252725,8.193118,6.662792,8.86132275,7.75325625,23.47099575,9.97191775,5.3193805,14.9055075,14.49326475,13.766321,13.21131525,15.45973525,10.76800625,13.0246925,9.73579475,10.164181,10.43385525,0,12.3910115,7.91760875,9.66344075,7.02465925,7.018338,7.09973625,10.48442525,7.8311535,10.64449875,10.3596535,0,5.86018775,7.9112875,9.297878,9.18672125,8.22336275,13.17844475
"Rv1972",42.1875545,0,61.49048269,9.63941524,134.21323097,0,5.67372715,173.03919633,48.84249734,6.25737203,7.20894174,5.57452077,10.09511867,7.91895468,0,5.69285626,6.11112957,14.26708647,12.49205412,12.19037729,10.93812447,12.56658312,5.33064532,7.45198909,7.11064627,11.3350328,4.44118311,0,5.42049417,4.46420429,7.02816751,3.16491539,11.94236134,8.94985637,10.33046469,6.91032888,8.7687509,9.61482067,0,9.72371582,9.18553363,7.87788092,10.04750292,7.59599568,11.6074777
"Rv1973",51.43871628,701.2263258,134.38925136,9.20858652,377.59651524,0,3.9378528,662.17642344,107.17694064,16.24210056,14.23667448,17.50789404,15.35711184,11.99464308,0,21.3677352,11.7075294,29.54777616,28.35588168,26.94563172,21.76563312,27.73680084,17.40456396,9.86211072,15.14621052,7.84396116,9.71315604,0,17.0006256,12.3983244,20.32119684,16.98995844,30.86896176,15.78148488,17.29390824,21.51142056,15.6511656,14.37059232,0,2.0229048,18.06065856,25.14018276,20.00940732,15.97477896,26.2906938
"Rv1974",58.4425,0,108.3935,3.9591,260.1031,0,6.5253,293.7575,0,13.7965,9.2572,12.675,15.2164,9.9195,0,11.7259,19.025,24.0347,23.0439,21.2778,16.8848,22.759,25.7919,11.2837,4.9133,12.5353,7.614,0,13.3171,5.0596,12.5733,4.5037,2.9374,14.7194,16.7018,6.6635,12.9357,13.9509,0,18.7421,14.936,15.0071,19.716,11.945,21.2218
"Rv1975",44.9648657,0,112.3292523,46.8873309,509.1800306,0,49.4024652,173.5103185,8.4862191,27.317618,28.1194365,25.7714318,23.7093754,24.4597968,0,29.565796,34.5757669,49.5674582,46.2943057,43.1677477,40.55979,49.2965848,36.3563856,26.1605304,29.7851536,39.0896905,24.1089196,0,19.777794,36.1992268,50.7523216,41.808514,25.7346348,31.619306,33.2428846,23.6811248,30.6515449,30.0511603,0,43.2297091,27.8057124,28.1013941,30.888114,27.7641674,39.6866328
