"","BQ12_10_Probe_3A_S29","BQ12_3_Probe_4A_50_S27","BQ12_8_Probe_4A_50_S28","S_250754_Probe_4A_50_S24","S_349941_Probe_3D_25_S21","S_351946_Probe_4A_100_S22","S_503557_Probe_3D_10_S25","S_575533_Probe_3A_S26","S_687338_Probe_4A_100_S23","Saliva_1e6_1_Probe_3D_25_S11","Saliva_1e6_2_Probe_3D_10_S12","Saliva_1e6_3_Probe_1_S13","Saliva_1e6_4_Probe_4A_100_S14","Saliva_1e6_5_Probe_4A_50_S15","Saliva_1e6_6_Probe_None_S42","Saliva_1e6_7_Probe_4B_25_S43","Saliva_1e6_8_Probe_4A_10_S44","Saliva_1e8_1_Probe_4A_25_16hr_S16","Saliva_1e8_2_Probe_4A_10_16hr_S17","Saliva_1e8_3_Probe_3A_S18","Saliva_1e8_4_Probe_4A_25_S19","Saliva_1e8_5_Probe_4A_10_S20","THP1_1e6_1_Probe_3D_100_S1","THP1_1e6_2_Probe_3D_50_S2","THP1_1e6_3_Probe_3D_25_S3","THP1_1e6_4_Probe_3D_10_S4","THP1_1e6_5_Probe_1_S5","THP1_1e6_6_Probe_None_S36","THP1_1e6_7_Probe_4A_100_S37","THP1_1e6_8_Probe_4A_50_S38","THP1_1e6_EukmRNADep_1_Probe_4A_50_S30","THP1_1e6_EukmRNADep_2_Probe_4A_25_S31","THP1_1e6_EukmRNADep_3_Probe_4A_10_S32","THP1_1e8_1_Probe_4A_25_16hr_S6","THP1_1e8_2_Probe_4A_10_16hr_S7","THP1_1e8_3_Probe_3A_S8","THP1_1e8_4_Probe_4A_25_S9","THP1_1e8_5_Probe_4A_10_S10","THP1_1e8_6_Probe_None_S39","THP1_1e8_7_Probe_1_S40","THP1_1e8_8_Probe_4A_50_S41","THP1_1e8_EukmRNADep_1_Probe_4A_50_S33","THP1_1e8_EukmRNADep_2_Probe_4A_25_S34","THP1_1e8_EukmRNADep_3_Probe_4A_10_S35","Undetermined_S0"
"Rv2113",539.923735,210.4945,1517.4837,478.94444,430.637555,0,123.60408,242.80594,0,929.8087,1218.335755,955.826675,1164.953495,1303.07849,3.2055,669.60758,659.894915,2709.95107,2559.004075,1628.426055,1653.86704,2780.42933,249.28105,238.905915,225.934325,189.541215,130.346315,0,66.99495,199.55306,259.36769,409.481255,328.980465,622.390565,640.512325,70.531685,337.56052,432.50743,2.137,139.065275,250.616675,488.400665,529.730245,408.049465,1498.80632
"Rv2114",1173.36762,184.481088,1334.436084,670.524936,244.923504,0,291.665268,139.028688,0,2884.826724,3360.592764,2400.053688,3064.74402,4115.631336,13.914,2183.134428,2333.544768,5815.050192,5640.234696,3784.533792,4232.304864,6137.957028,751.207584,707.962872,641.15712,560.604336,499.076628,0,258.345876,641.964132,486.090228,797.476272,774.119304,1918.239696,1978.29252,208.784208,1029.385548,1193.746992,0.9276,412.744896,931.236192,1441.267776,1255.265424,1335.614136,3840.087756
"Rv2115c",4191.618432,316.959008,5179.260512,4412.465632,313.720288,7.8176,1102.717152,192.949536,16.752,17613.231488,20138.394464,13964.221504,17817.20384,22719.107072,53.170848,10574.878688,12526.207488,27250.824608,27559.452288,17286.098432,19688.446912,28496.235296,3888.64176,3680.034688,3296.882944,2935.430624,2298.809952,0,1160.444544,3099.544384,3653.38784,5222.972064,4786.481952,10076.841728,9813.980512,1050.51792,5055.541408,5197.039968,7.8176,1969.130592,3702.326016,7535.809024,7149.496736,6866.432608,18244.860064
"Rv2116",313.307484,1.383256,524.345563,111.596212,0,0,47.366347,89.5048,0,171.371179,163.54968,138.010299,184.206981,224.829955,1.0171,126.445872,96.268515,422.523682,385.135086,254.590301,218.513764,420.479311,30.126502,48.271566,26.719217,37.195347,29.689149,0,10.903312,34.194902,26.292035,13.140932,43.419999,94.814062,124.432014,8.462272,53.09262,78.937131,2.0342,32.303096,49.909097,45.962749,52.502702,68.85767,244.175197
"Rv2117",63.014596,88.224352,276.72947,88.518172,0,0,13.104372,0,0,257.856432,275.2114,226.554808,228.572372,279.873344,3.08511,151.571944,140.49493,668.322972,632.88828,406.637086,381.593828,717.185238,95.070358,42.123994,69.361108,32.839282,46.511706,0,16.414744,64.415138,62.6816,41.056448,86.265552,184.724634,203.489938,18.941596,103.502992,100.19262,0,28.735596,47.275638,112.415532,154.657054,142.316614,382.367554
"Rv2118c",316.257305,0,781.334099,290.450524,20.097623,0,73.756774,91.3003,0,1018.714879,1138.768995,815.253894,998.039406,1327.725945,0.34671,562.040024,503.342021,2307.181695,2092.406407,1356.537546,1324.062376,2339.760878,243.644674,173.771052,210.060032,141.619478,151.766524,0,65.782444,172.962062,317.990855,404.367873,353.343718,500.522113,569.552074,51.440207,249.157363,258.287393,0,86.596601,144.69364,405.88184,422.801288,384.050667,1139.17349
"Rv2119",355.772942,84.6531,856.731176,142.499385,53.247845,0,60.971134,1.0451,0,561.093288,636.915293,428.491,544.298531,709.194409,3.124849,305.043788,497.99015,1473.643255,1425.72542,836.613001,849.373672,1427.617051,112.599074,104.321882,96.055141,123.760742,65.130632,0,30.579626,88.112381,159.994359,184.784131,247.500582,363.935173,305.858966,36.818873,174.615308,193.542069,0,78.351147,122.893309,306.580085,251.074824,227.675035,760.707388
"Rv2120c",119.28906,0,638.14311,584.86923,149.81373,0,160.09389,30.93849,0,825.7887,1090.24146,698.64795,1008.49023,1170.41364,3.267,643.68612,697.67874,2577.23829,2483.84565,1493.81397,1692.65448,2710.69524,316.14759,201.66102,203.68656,203.38164,132.97779,0,62.42148,234.85374,270.36603,276.25752,218.47518,589.76973,647.66097,60.984,369.99864,376.49997,0,127.48923,244.99233,522.66555,424.61199,448.29774,1236.65751
"Rv2121c",276.014446,66.2984,876.464848,238.129646,88.567559,1.1839,76.314194,33.184717,0,216.41692,261.038111,188.524236,216.487954,262.956029,1.1839,124.262144,136.657577,743.13403,688.544401,426.014576,446.863055,794.408739,60.118442,57.549379,41.945577,63.113709,34.498846,0,9.198903,56.969268,79.605436,156.416868,104.763311,192.940183,144.708097,14.621165,99.305532,95.126365,0,13.555655,36.156306,119.147696,113.429459,121.255038,426.381585
"Rv2122c",137.043292,0,275.510947,93.660022,0,0,18.038307,31.238129,0,35.380742,29.987734,20.647827,47.264931,33.673681,0,26.290914,11.916808,149.666845,124.887278,89.191219,96.44351,154.516203,10.796889,16.070294,10.818635,3.522852,5.273405,0,4.3492,3.2619,5.4365,13.080219,23.887981,40.762877,34.7936,6.5238,26.464882,16.135532,0,1.0873,13.841329,19.734495,20.484732,15.320057,92.007326
"Rv2123",288.958968,0,578.444544,218.25612,182.0232,0,38.98044,67.920984,0,481.15944,495.423648,442.327824,465.6474,521.983008,2.2896,284.001984,309.359304,1317.172536,1188.393984,698.305104,725.013288,1265.34744,94.320072,104.932368,101.291904,87.039144,69.867144,0,31.264488,99.414432,80.925912,44.87616,65.734416,345.054168,265.330296,21.190248,134.85744,155.246328,0.526608,12.146328,125.950896,150.48396,126.305784,143.992944,642.759408
"Rv2124c",2036.8854,324.2646,3986.523684,5049.723294,430.254,0,806.736744,451.535832,6.2964,7209.042192,7928.710218,6209.047944,7746.922656,9441.829584,24.1362,4106.658996,4782.126294,16033.971492,15198.418224,9444.411108,9651.373776,16819.99308,1689.806844,1543.87728,1447.217046,1217.335482,1010.970972,0,447.894414,1256.666994,1712.180052,1892.508948,1731.45753,4155.582024,3980.856924,414.103734,2058.272172,2318.890662,10.063746,745.157952,1332.926892,2926.283382,2565.929916,2692.676448,8479.445832
"Rv2125",550.302498,17.013,1185.86281,586.687634,144.0434,1.1342,190.443522,146.561324,0,2912.047158,3098.29414,2584.89851,3261.029156,3620.411768,12.4762,1836.621402,1866.224022,6024.484772,5743.237198,3645.749796,3795.0332,5989.449334,610.25631,602.566434,529.285772,478.0653,422.274002,0,175.812342,456.980522,577.273774,667.431332,528.378412,1600.877932,1624.1744,160.88627,766.94604,854.84654,3.4026,221.066922,466.66659,1042.363826,1110.688034,870.010794,3154.902062
"Rv2126c",179.231004,0,941.134819,189.123764,0,0,54.915571,222.780654,0,583.597569,623.88906,559.682897,595.436622,574.618814,0,495.218662,516.133247,1055.449962,1000.448367,717.311124,661.696608,1209.336145,118.089446,131.036058,105.745002,96.088808,82.497016,0,47.366965,130.229583,147.402124,232.114258,180.854707,275.427342,307.664836,34.904238,160.639067,193.23141,0,56.109154,134.62756,275.782191,218.167617,235.039074,749.817443
"Rv2127",1055.76476,96.35,1668.51222,1511.86639,0.9635,0.9635,599.884735,104.71318,0,6566.09834,7817.39579,5629.393275,6557.571365,8618.25699,33.20221,3887.770675,4316.508905,12648.67384,12320.64063,7681.17616,8476.35271,13459.430185,1523.669265,1391.69867,1223.8377,1013.15879,810.45766,1.927,411.20253,1201.706105,1675.31453,2273.93708,2250.822715,3776.95854,3442.79747,402.714095,2054.711925,2163.32728,7.659825,836.52997,1420.131555,3715.256,3261.2548,3263.769535,7621.90164
"Rv2128",150.152979,0,275.00005,339.475017,0,0,104.372112,0,0.108229,1025.076215,1165.783754,748.629832,1095.985888,1450.573609,1.918605,709.88385,683.161126,2189.738323,2237.851033,1343.672874,1477.050358,2412.926199,309.387355,222.223654,258.322945,170.864074,166.997347,0,72.916829,204.867658,214.637785,254.033141,245.109168,727.033227,684.125348,93.165491,347.838167,403.654814,0,169.91953,339.061779,459.491139,475.341768,400.417783,1283.851754
"Rv2129c",512.719875,0,1010.85975,525.254625,98.2125,1.0125,206.81325,134.19675,0.648,2512.84275,2846.370375,2215.623375,2719.3725,3348.489375,8.262,1637.39475,1556.728875,5801.88825,5641.18425,3554.978625,3818.31975,6132.317625,737.68725,600.321375,594.92475,458.43975,348.07725,1.0125,179.101125,496.195875,527.522625,764.893125,716.99175,1555.129125,1668.3165,162.648,873.838125,936.592875,3.938625,306.423,580.901625,1239.0975,1202.738625,1165.77225,3202.952625
"Rv2130c",950.163086,137.244,1864.882909,1145.118188,290.911532,11.437,276.958392,60.536041,0,4022.999061,4330.665798,3179.737614,4466.857594,5459.897993,15.645816,2365.228785,2463.712792,8288.645514,7880.561917,5002.31506,5287.485218,8344.400889,1053.610751,831.298345,804.0211,838.503655,534.165085,0,275.768944,677.722309,794.196717,936.11845,1239.404816,2555.814953,2502.781584,247.702546,1309.627996,1427.177482,4.5748,439.432414,886.184508,1612.982984,1475.315815,1378.364366,4699.932217
"Rv2131c",788.169096,0,1474.652868,1206.667488,292.0788,0,218.245716,181.766676,0,4541.159844,4922.784828,3790.357116,4905.124536,5910.923148,12.853932,2608.707348,2571.846264,8202.250524,7764.218592,5103.405372,5275.670244,8293.300236,1033.687824,836.55312,814.271328,655.88328,551.166252,0,246.652536,649.573392,798.508932,1198.176252,987.83022,2258.656452,2091.863436,225.060888,1095.04902,1270.123764,4.350372,429.86112,832.535496,1684.395024,1601.306616,1535.989416,4599.415392
"Rv2132",175.84026,0,449.2987,264.53092,232.67349,0.71739,92.476885,122.00944,0,866.593835,994.023555,717.54942,871.78827,1290.58461,5.0483,622.64138,564.85163,1961.277835,1957.478325,1136.066775,1232.74172,2055.760755,255.52369,189.882505,198.039495,117.89109,131.81377,0,70.450355,185.88372,188.75328,307.49461,185.93686,531.82512,511.060665,58.13516,241.003185,288.94875,0,91.360945,207.445275,339.126195,275.98259,322.360525,1056.967885
"Rv2133c",283.994724,0,718.689331,373.850621,75.7656,0,116.952622,193.107573,0,2044.250595,2635.895747,1852.668857,2530.202735,2861.487821,7.3661,1327.434358,1344.229066,4798.456431,4629.846402,2909.283287,3041.715242,4912.609935,480.364427,477.470602,415.34281,353.288679,275.997244,0,121.088161,362.706764,384.426236,576.544647,581.385227,1226.813432,1232.55899,113.490555,593.823413,674.082334,1.915186,218.310158,387.530521,967.821356,839.167158,893.571068,2514.870724
"Rv2134c",689.951997,115.2333,1079.499645,1391.732643,142.8105,0.9849,307.259253,520.627989,0,4260.716796,4774.086072,3626.293461,4616.147508,5557.416438,12.8037,2449.072038,2840.4516,7339.937703,6930.583716,4801.948893,5016.410868,7490.972118,985.914447,857.8479,796.813647,689.843658,573.625458,0.9849,262.919055,708.330231,1004.588151,1265.744235,1057.280301,2324.551131,2263.191861,226.615641,1098.281688,1338.853362,3.9396,409.757796,764.558172,1856.802423,1625.725185,1513.259454,4767.300111
"Rv2135c",244.9833,101.79,541.2357,202.971,213.15,0,34.9218,46.11,0,1356.2517,1427.67,1185.6882,1352.2584,1706.679,6.96,713.1042,777.0144,2994.5313,2849.4153,1864.3491,1806.0591,3053.1084,313.0782,267.2466,268.6647,250.2294,177.3408,0,79.2048,190.8258,314.1135,404.289,333.3492,765.8088,675.9813,78.9612,366.6267,353.8812,0,137.3991,221.5107,547.1343,573.7998,548.4393,1501.3068
"Rv2136c",856.131712,102.8912,1178.10424,357.04208,302.904,0,97.948576,56.7344,0,2524.209616,2790.476656,1949.528608,2690.710656,3183.90568,5.279184,1581.178112,1798.105456,5477.2736,5359.391056,3265.362816,3705.871776,5644.861248,559.285792,522.889232,485.646464,429.49864,300.971184,0,167.529952,497.031808,576.854224,817.773488,913.18344,1739.640176,1487.45096,175.501616,832.514816,836.592,0.9616,271.584688,610.08712,1455.900864,1382.069216,1360.442832,3181.607456
"Rv2137c",1813.318925,255.112,2814.584465,1159.618955,0,2.453,255.443155,8.5855,0,8920.62886,10120.97988,7314.245015,9033.12344,12088.052845,37.50637,6710.08338,6990.14239,10336.561785,10954.104535,7655.923385,8840.329905,10560.201795,2064.825015,1950.135,1688.74332,1550.798865,1231.639035,5.457925,701.692915,2120.8638,1674.062115,2123.63569,2004.996345,5034.966475,5091.4468,526.818545,2674.28513,2940.913965,9.812,1094.89655,2043.631095,3059.28348,2828.640155,2917.193455,8817.87269
"Rv2138",387.84176,118.144,1035.15728,489.86592,95.7648,2.272,213.36352,42.032,0,1987.81824,2420.60016,1798.9128,2347.50992,3049.84192,10.63296,1454.43216,1642.81504,4535.61632,4481.24736,2730.46688,2836.79648,4612.23952,558.46896,450.03776,417.46864,390.3864,265.26736,1.136,154.17792,451.07152,335.77888,416.52576,483.07264,1460.02128,1317.45328,127.232,686.79152,749.49872,3.408,291.2136,602.54576,688.46144,708.17104,676.69248,2527.41824
"Rv2139",352.755015,69.5095,1292.94507,1098.170335,326.478145,1.1395,292.338725,35.381475,0,2641.68006,3014.763755,2066.71115,2895.640425,3547.616745,1.538325,1479.11658,1487.0475,6761.918345,6436.10111,4115.60052,4123.32633,7013.041355,714.477895,706.96859,533.229025,507.92073,411.40508,0,213.257425,515.566775,802.675195,681.80843,875.97923,1905.15284,1770.44115,199.332735,916.47706,1075.744975,2.279,409.912335,640.399,1439.815225,1448.21334,1354.11343,3502.16209
"Rv2140c",103.383956,33.5088,650.498888,373.036716,249.556788,0,175.074172,78.010348,0,669.217276,769.697136,581.954776,757.708432,996.216624,2.364232,443.675128,503.590724,2111.817656,1897.286872,1189.74856,1247.45816,2078.392628,177.717644,164.779524,204.701536,166.855208,127.258976,0.9308,60.995324,186.169308,197.162056,249.249624,296.794888,536.866824,561.951884,55.66184,299.149812,322.047492,1.498588,137.367464,197.199288,459.843124,402.813008,480.71166,1069.107572
"Rv2141c",251.664045,0,1243.903365,456.601635,391.982445,11.7645,278.88282,119.784,0,912.294195,1159.498425,830.349105,1139.46669,1313.249745,0,460.580175,508.29057,3092.75871,2889.885255,1643.45787,1717.46727,3066.160245,260.326995,224.50944,265.610325,217.226145,164.40354,0,85.677645,130.553865,201.96438,241.204335,294.24084,790.798995,776.73507,72.672525,383.661735,452.35572,1.0695,138.71415,301.802205,424.345515,426.762585,364.752975,1423.7184
"Rv2142A",375.9644,281.015,391.59505,339.4972,91.95795,0,58.4563,31.08,0,963.33755,1212.36605,788.396,1032.3222,1352.07065,1.295,841.2838,751.29425,2188.7313,1977.16715,1258.7918,1437.6313,2248.4826,285.0813,247.38385,172.19615,216.4722,155.20575,0,83.22965,192.39815,163.17,230.8985,143.05865,671.7165,616.48475,65.4493,371.2247,392.39795,3.6778,129.04675,331.6754,320.7197,336.94605,336.1561,1049.84355
"Rv2142c",182.257701,67.6454,276.133188,40.692207,35.257249,0,19.302265,0,0,410.747534,496.365617,282.652805,393.171393,560.278857,1.1663,264.831741,359.115433,1010.587287,970.256633,522.234151,556.814946,966.641103,113.527642,100.465082,72.987054,74.853134,57.556905,0,27.804592,31.4901,53.976364,63.668317,112.023115,308.113134,272.692603,34.545806,144.166343,123.137954,0.256586,47.188498,116.221795,122.204914,185.430037,155.619409,510.349554
"Rv2143",430.382656,0,1125.098656,392.599856,206.147832,0,100.587564,250.902168,0,2142.784468,2290.588344,1903.33902,2339.194088,2678.178932,7.117792,1244.784816,1286.175264,5119.764408,4800.18286,3036.628012,3148.52604,5211.722868,511.140344,492.358636,426.15342,363.945868,276.533532,0.889724,135.238048,366.968492,376.572636,468.360464,423.642692,1402.692544,1289.173512,155.811392,627.304172,757.813276,3.10794,193.216364,421.33916,799.191536,669.499028,675.812412,2460.135612
"Rv2144c",463.85964,6.1977,729.32496,837.14796,28.40754,0.849,301.03842,25.47,0,3878.00277,4411.32759,3555.0177,4256.40207,5224.96674,18.52518,2508.34503,2453.64396,6084.88488,6147.02319,4697.80566,5075.61066,6477.58134,1021.83942,903.79446,867.94119,681.97623,586.99011,2.547,304.92684,906.92727,1225.17492,1589.0733,1357.78023,2593.695,2561.78109,292.7352,1411.42854,1315.14345,5.36568,584.72328,1045.78122,2297.58078,2183.52612,1944.65997,4441.3737
"Rv2145c",1777.772212,188.908726,1950.648901,1751.566219,70.296972,1.1509,790.392084,103.212712,0,10867.649466,12066.921793,8430.699279,11391.619709,14461.553387,38.854384,6544.408706,6974.948887,15395.727408,16205.304995,10679.235627,11990.858812,16338.487143,2623.511077,2396.392471,2125.263449,1983.679731,1572.532215,2.002566,719.991531,2145.415708,2166.200962,2595.2795,2406.739062,7054.625694,6410.351874,704.650034,3398.112813,3546.682494,7.008981,1318.770274,2496.094938,4403.780742,4214.964088,3751.980036,10799.573731
"Rv2146c",387.77013,0,318.517254,425.7,93.466692,0,157.968756,41.982534,0,1282.923576,1592.024346,1030.23657,1457.750052,1751.142492,7.211358,1043.952624,1146.869856,2320.558812,2180.171466,1446.094386,1610.193222,2467.220976,297.43659,259.438608,245.620386,186.71202,179.977446,1.10682,93.466692,218.835342,449.266752,514.637244,535.164498,780.938136,745.639092,82.951902,431.736426,407.69289,0.80883,184.958136,329.551398,863.864496,732.135888,740.97342,1515.415374
"Rv2147c",1935.118812,235.1024,2010.249853,1928.337012,236.2327,2.2606,1000.824135,73.4695,0,6665.71819,7558.067434,5666.634717,7078.560265,8900.581259,20.334097,4131.031743,4547.716838,11015.214317,11206.314138,7226.674777,7799.465605,11346.776519,1669.758281,1436.441755,1292.554565,1095.554578,890.710309,3.3909,462.213579,1218.621642,1170.629104,1548.239728,1495.3869,4011.525124,3825.511653,362.566331,1931.479246,2057.281636,7.9121,732.253552,1418.232622,2758.033727,2470.847103,2222.441072,6977.873141
"Rv2148c",367.22904,0,739.758798,332.220786,8.8182,0.9798,66.812562,19.596,0,1440.639132,1609.056954,1184.343048,1645.789656,1982.595906,5.8788,802.279836,944.115684,3196.950228,3034.469994,1768.676172,1847.040576,3239.306982,294.547476,285.6117,301.856784,240.021606,164.55741,0,81.51936,291.68646,317.876514,372.480768,430.886646,777.049986,747.675582,69.262062,368.786922,414.386814,0.9798,157.982952,287.385138,624.122802,589.996368,588.036768,1606.715232
"Rv2149c",459.798016,175.595,1221.549194,654.899112,203.6902,0,182.127134,103.3502,0,2804.091606,2957.862656,2301.49858,3149.12073,3727.671136,14.589436,1508.792512,1466.348692,6125.616524,5798.407784,3822.693116,3993.170776,6323.165916,679.642956,592.848856,575.630512,504.15833,464.694608,0,172.43429,372.070754,430.699416,629.6335,645.928716,1811.317612,1591.352264,160.513898,813.265734,993.044912,3.0102,255.184688,459.838152,1153.980238,977.050716,1052.837518,3251.327054
"Rv2150c",1997.510347,307.180094,2154.914195,1574.026817,60.6476,1.1663,667.333534,58.315,0,10768.261292,11994.194211,9170.535259,11683.246968,13466.461353,32.119902,5542.665805,6103.422845,15221.567908,15097.310306,10150.588812,10605.060933,15390.529789,2377.15266,1970.277242,1913.816659,1632.201861,1398.871883,0,524.520099,1585.164982,1908.428353,2283.941964,2268.278555,5613.355248,5012.815715,544.568796,2485.443615,2862.543394,8.222415,847.806796,1658.933457,3683.035444,3490.374347,3253.428839,9790.15546
"Rv2151c",770.974674,191.888322,1351.984158,518.440608,119.6367,2.2362,109.696791,209.956818,3.3543,2950.207479,3158.531871,2537.796294,3364.3629,3612.525195,6.7086,1708.4568,1688.386905,5785.451916,5714.340756,3506.272152,3576.958434,5974.690341,546.840348,592.235208,498.571971,391.815783,405.713766,0,168.452946,418.650183,753.688848,883.332543,823.827261,1490.550291,1506.841008,161.777889,743.581224,827.684706,2.2362,265.112691,474.96888,1313.43207,1129.236276,1161.247479,3049.95318
