"","A11_S1","A12_S2","A13_S3","A15_S4","A16_S5","A17_PulledDown_S6","B11_PulledDown_S7","B12_PulledDown_S8","B13_PulledDown_S9","B15_PulledDown_S10","B16_PulledDown_S11","B17_S12","HN878_broth_R1_S1","HN878_broth_R2_S2","HN878_broth_R3_S3","HN878_mimic_D14_R1_S7","HN878_mimic_D14_R2_S8","HN878_mimic_D14_R3_S9","HN878_mimic_D28_R1_S10","HN878_mimic_D28_R2_S11","HN878_mimic_D42_R1_S12","HN878_mimic_D42_R2_S13","HN878_mimic_D42_R3_S14","HN878_mimic_D7_R1_S4","HN878_mimic_D7_R2_S5","HN878_mimic_D7_R3_S6","HN878_R1_1Probe","HN878_R2_1Probe","iMTB_0_S31","iMTB_0_S48","iMTB_14_S18","iMTB_28_S19","iMTB_28_S38","iMTB_42_S20","iMTB_42_S39","KA_2_S12","KA_2_S32","KA_3_S13","KA_3_S33","LLL_Cav_L2_20mm_18_S24","LLL_Cav_L2_20mm_18_S41","LLL_Cav_L2_20mm_21_S25","LLL_Cav_L2_20mm_21_S42","LUL_Cav_L1_15mm_12_S22","LUL_Cav_L1_15mm_12_S39","LUL_Cav_L1_15_S14","LUL_Cav_L1_15_S34","mimic_only_D42_R1_S15","R002_12_S25","R002_12_S4","R002_14_S5","R002_3_S1","R002_3_S22","R002_7_S23","R002_7_S2","R002_9_S24","R002_9_S3","R006_11_S28","R006_11_S8","R006_13_S29","R006_13_S9","R006_17_S10","R006_17_S30","R006_19_S11","R006_19_S31","R006_7_S26","R006_7_S6","R006_9_S27","R006_9_S7","R011_L1_30_S27","R011_L41_22_S23","R011_L4_27_S25","R011_L4_28_S26","R011_L5_18_S21","R011_L5_19_S22","R011_L6_12_S18","R011_R1_8_S16","R011_R1_9_S17","R011_R2_13_S19","R011_R2_14_S20","R011_R3_25_S24","R011_R4_31_S28","RLL_Cav_Cluster_R4_13mm_23_S26","RLL_Cav_Cluster_R4_13mm_23_S43","RLL_Cav_R3_18mm_X_15mm_16_S23","RLL_Cav_R3_18mm_X_15mm_16_S40","RLL_Cav_R3_28_S15","RLL_Cav_R3_28_S35","RUL_Cav_R1_30mm_X_22mm_26_S27","RUL_Cav_R1_30mm_X_22mm_26_S44","RUL_Cav_R1_30mm_X_22mm_7_S37","RUL_Cav_R2_18mm_X_12mm_27_S28","RUL_Cav_R2_18mm_X_12mm_27_S45","RUL_Cav_R2_18mm_X_12mm_8_S21","RUL_Cav_R2_18mm_X_12mm_8_S38","Stearic_acid_0_S29","Stearic_acid_0_S46","Stearic_acid_14_S30","Stearic_acid_14_S47","Stearic_acid_28_S16","Stearic_acid_28_S36","Stearic_acid_42_S17","Stearic_acid_42_S37"
"Rv0650",2,8.15,15.45,17.39,1,2155.543646,2909.328013,3218.225909,2721.742878,3582.991684,1240.240142,2.84,1669.769335,2028.998215,497.395706,661.823234,243.550366,278.499734,345.5996,240.325581,384.406541,443.827768,379.538941,26.7718,398.802468,296.400333,341.49,342.59,389.274141,3.96,0,226.392076,5.16,357.245333,3,0,0,247.821685,0,715.90227,1,542.932104,3,964.587954,0,895.869611,0,52.363207,23.64,784.997852,1164.281244,523.315676,5,24.38,1929.626161,22.3,2147.865007,28.32,833.479148,1,739.120722,481.782879,15.49,547.872718,71.19,0,632.788,0,389.408,111.382857,789.549058,0,76.6647,664.4274,49.8929,0,59.287368,0,102.840219,15.8197,1716.352267,57.863595,76.6647,0,880.110756,1,202.528667,0,885.611144,3,2,524.861139,4.39,671.169026,0,412.212706,18.62,980.930921,0,288.259272,17.12,336.22947,5
"Rv0651",5.62,0,15.96,13,0,1023.9632,1589.609592,1704.681084,1783.520032,2291.356032,827.637948,3.35,3545.089112,4329.19826,1987.027536,4221.10174,2469.27482,1463.521168,1989.452712,1139.67726,1427.723912,1007.857544,1245.327876,115.983524,1454.442304,1256.635,820.47,931.11,2311.420736,38.01,0,1789.717704,31.53,1086.903772,17.43,1079.296596,1.68,1046.55672,0,307.582792,1,833.825256,2,396.588824,2,748.011336,5.12,58.981524,32.76,770.086656,684.469652,1114.896936,11.99,12.77,1346.045228,13.99,1032.130032,33.42,1138.557948,1,772.242368,872.44152,20.49,779.103336,113.74,2.93,545.063488,0,47.425664,30.78108,501.46214,0,37.196396,318.423536,90.042432,0,25.91,22.8008,46.638,0,939.019856,52.618028,297.4468,0,314.899776,1,0,0,886.971848,3.24,2.66,469.240464,4.81,587.6388,0,2007.081876,100.5,1467.107112,0,2994.553432,238.73,1889.66812,29.38
"Rv0652",3.59,6.2,12.88,26.31,0,1481.69752,2145.55936,1854.11108,1971.17972,3070.30704,793.00948,3.3,4202.69016,5544.54884,1564.98608,3958.75604,2554.26132,2330.44516,2009.65776,1212.79328,1544.6214,1119.6976,1415.59712,143.15928,1007.56336,691.83372,1721.35,1747.5,2645.52716,55.47,0,1557.4714,26.91,1324.15652,19.8,1276.91992,1,1721.05704,4.81,453.73864,1.77,1076.03844,2,829.66796,0,484.41416,0,263.2194,61.91,1542.32896,938.47148,1026.64304,6.74,16.81,1194.9986,17.27,1247.57052,45.42,1453.96208,1.64,767.92628,889.50784,15.49,1009.53712,113.92,0,543.13352,0,177.75148,40.17424,556.6106,0,58.9558,450.68548,12.5416,0,19.532,0,0,143.22096,811.27704,63.21172,2.6214,0,314.38296,1,322.26772,0,968.48908,0,1.41,589.31128,10.59,0,0,1727.7082,77.84,1910.90808,0,2968.33972,239.73,2444.57372,31.91
"Rv0653c",4.5,6.84,23.66,27.01,2,1986.737955,2772.164595,2794.056915,3547.319295,4287.791325,945.543975,6.91,5149.503975,6526.13232,2079.026775,5526.83913,3000.0807,2916.04116,2761.297755,1616.02602,1826.20419,1408.58439,1542.69468,201.51246,1587.322095,1401.574485,2835.53,2941.42,2949.05811,45.95,0,2478.17493,36.91,1721.48196,20.99,1937.361255,1,3904.36836,5.41,781.48047,0,1324.911705,2.85,1003.02123,1.96,1520.990745,1,87.182595,71.04,1475.53047,1010.06088,1111.322775,7.49,31.64,1764.53289,17.74,1720.49046,58.58,1938.71961,5.39,1155.01818,1190.01813,29.61,1211.87079,160.97,1,885.23103,0,230.44443,83.672685,891.408075,0,7.63455,452.272725,81.303,0,110.0565,0,116.511165,104.40495,1299.707775,171.11307,287.75313,0,667.16052,1,145.07628,0,1196.9388,1,5.88,1482.57012,9.55,141.7845,0,2682.235545,130.19,2551.436865,0,4105.97997,311.45,2238.68802,34.92
"Rv0654",20.18,33.77,42.91,83.38,13,11184.306966,8196.153588,12354.000183,9502.472511,10970.930565,7184.306934,26.99,3509.321634,4109.344785,1036.129122,5637.078153,1386.299565,913.759371,2080.780254,1172.838996,2437.589448,2790.400662,3251.420361,106.188453,820.185597,773.914239,819.45,846.85,4833.03177,88.51,0,2242.172394,34.91,2886.078636,47.66,603.9054,0,748.726965,0,2666.642139,2,4798.638621,8,3139.4664,1,3103.400412,4,330.117417,412.59,11276.849682,6712.124454,2898.661752,17.89,74.97,5370.44445,64.28,5148.935316,54,1710.062298,10.38,3718.500156,1734.576228,41.47,3271.652244,465.45,24.8,4504.229478,3,2696.826888,346.656429,3535.613613,0,374.5476,1422.249822,609.965496,0,242.035605,48.3966,760.952367,137.572596,4022.304552,978.905403,1776.628665,1,2045.229795,3,2883.8061,4,8018.085663,23.36,22.62,8602.769196,98.41,3733.745085,0,2019.579597,84.38,3631.154814,0,2827.855422,202.45,3758.017032,56.69
"Rv0655",44.7,19.16,83.77,123.05,0,5740.839764,18135.37352,6538.122074,11448.541126,16087.885264,3640.6172,11.32,17183.6489,21288.193014,34362.755064,17970.870764,16960.20843,15401.364286,19558.08558,10785.376668,13581.430676,12633.027396,12752.638492,679.385454,4814.368042,5698.819456,20543.5,23171.16,26031.462952,478.89,3707.044,5666.173898,94.36,14843.047032,192.46,9938.424254,4,7004.556064,1.35,1061.414552,0,7769.674946,16.36,2301.827902,3,1910.3062,6,643.632836,454.11,10601.117296,6817.736046,12324.442768,112.59,72.22,5195.882868,51.66,3840.936858,416.84,13726.123246,17,4264.375566,11042.587666,253,9140.499104,1253.81,15.05,3041.22247,2,589.120004,151.849522,1276.41239,53.57,139.282,1041.904358,849.127356,0,156.874388,28.895658,302.970492,67.862476,3131.734342,1428.904752,2238.658158,1,1273.058908,6,383.5612,1,6170.599732,12.18,11.84,4053.513332,45.2,2562.799514,0,20450.979626,1204.19,12610.078008,0,8600.545646,630.22,21185.820744,296.45
"Rv0656c",4.18,1.91,20.68,18.81,1,1600.588632,2160.78572,2669.931512,2360.376712,3019.367224,1689.516696,5.3,293.6304,417.809648,808.291472,792.444752,385.95308,289.00844,631.219912,316.266352,324.54704,317.28396,275.973736,25.657704,397.791512,430.417112,276.09,274.68,588.845472,14.3,0,552.18828,14.18,478.827288,8.93,136.7168,1,10.657696,0,337.542904,0,742.045968,1.08,869.425632,0,1386.285048,9,29.456256,13.68,275.072648,1014.671696,618.56584,9.38,39.22,1687.667912,15.2,1272.421704,15.05,475.642408,5.27,1338.908016,436.864552,13.65,451.041152,85.57,10,494.697312,1,511.48396,26.4112,350.60868,0,39.010896,555.64504,95.31336,0,47.276048,1.5536,108.837448,19.218032,742.527584,83.024384,149.774808,0,382.566232,0,185.22796,0,1113.278688,7,3.72,920.500232,12.41,701.68344,0,547.364352,30.14,891.486752,0,640.883304,60.7,463.446648,13.92
"Rv0657c",2.36,1.57,3.68,2.09,0,356.5036,777.84673,588.572385,680.342295,756.79971,167.211745,1.76,249.386175,310.811255,416.466595,311.64298,200.59456,0,312.947475,116.923025,253.553555,298.886945,186.28889,2.83662,158.72815,191.358035,158.78,197.24,310.898805,1.96,0,173.48908,2,204.11407,2.85,262.05466,0,121.39683,0,115.7411,0,193.056505,1,176.34321,0,144.851475,0,10.602305,1.89,97.93343,289.554115,271.816485,2.23,4.85,254.22769,4.65,197.591595,3.85,157.668795,0.18,181.12344,150.787365,5.45,147.565525,23.36,0,112.580545,0,143.415655,20.040195,57.266455,0,0,95.74468,101.391655,0,0,0,82.48961,0,166.791505,57.20517,79.77556,0,68.858075,0,0,0,220.897405,0,0,294.01041,2.55,199.517695,0,418.64659,25.49,9.38536,0,214.015975,14.42,153.58021,2.76
"Rv0658c",12,7.89,21.27,30.07,1,2565.532985,3576.020397,2899.948842,4226.821044,4157.749721,1802.084898,7.5,1101.951152,1489.288876,1874.75745,882.276183,451.050817,97.881155,723.323667,305.768018,503.823152,509.268609,404.658514,69.681912,875.908612,826.849655,832.31,778.38,1020.5559,18.96,0,738.999605,15.58,691.298897,12.55,1191.882189,0.77,834.887,0,450.415306,0,992.842636,3.45,1031.259899,0,701.217853,2.69,78.5043,22.89,460.907468,943.521998,1353.164912,12.01,59.3,2553.931794,34.97,2274.992309,40.7,1068.867197,5,1428.65365,756.096097,13.47,626.688612,103.41,5,875.285562,0.51,715.361088,84.385892,492.745323,0,30.442223,486.078688,123.3639,0,205.668805,0,164.584888,42.3674,1111.89503,175.07705,294.0796,0,650.750803,1,9.9688,0,1736.166208,5,4.28,1402.012032,27,809.379333,0,1671.792682,108.76,897.042468,0,722.401553,77.76,799.809285,7
"Rv0659c",14.05,6.99,17.58,32.24,0.53,2120.96374,5500.98934,2497.17286,4294.31044,4049.94184,1788.21342,3,4370.00312,5340.42418,5198.11404,3460.85432,1910.59526,1881.58012,2717.1046,1268.91562,2355.85042,2383.68032,1897.1393,159.24048,1974.56336,2080.35184,3559.97,3742.82,3068.98144,34.84,0,1711.40522,18.54,1957.4471,26.08,4452.47026,2.43,1425.03032,1,427.62762,1,2067.3723,5.07,504.38934,0,370.10862,0,355.3977,88.69,2366.40138,1129.1154,2306.26788,13.42,24.14,1313.33888,5.19,1177.43136,78.59,2894.06558,3.95,1251.03244,2220.08234,57.14,1562.8319,206.76,8.8,1766.46078,0,517.85692,43.9236,706.1474,0,0,358.43052,240.7083,0,77.93534,62.748,92.33252,12.782,1056.38582,937.37378,683.44192,0,389.5024,1,183.41008,0,1277.0961,3.34,4,1220.76234,8.7,606.77316,0,4517.6236,219.54,2116.90836,0,2892.98492,177.04,2172.54492,32.66
