"","A11_S1","A12_S2","A13_S3","A15_S4","A16_S5","A17_PulledDown_S6","B11_PulledDown_S7","B12_PulledDown_S8","B13_PulledDown_S9","B15_PulledDown_S10","B16_PulledDown_S11","B17_S12","HN878_broth_R1_S1","HN878_broth_R2_S2","HN878_broth_R3_S3","HN878_mimic_D14_R1_S7","HN878_mimic_D14_R2_S8","HN878_mimic_D14_R3_S9","HN878_mimic_D28_R1_S10","HN878_mimic_D28_R2_S11","HN878_mimic_D42_R1_S12","HN878_mimic_D42_R2_S13","HN878_mimic_D42_R3_S14","HN878_mimic_D7_R1_S4","HN878_mimic_D7_R2_S5","HN878_mimic_D7_R3_S6","HN878_R1_1Probe","HN878_R2_1Probe","iMTB_0_S31","iMTB_0_S48","iMTB_14_S18","iMTB_28_S19","iMTB_28_S38","iMTB_42_S20","iMTB_42_S39","KA_2_S12","KA_2_S32","KA_3_S13","KA_3_S33","LLL_Cav_L2_20mm_18_S24","LLL_Cav_L2_20mm_18_S41","LLL_Cav_L2_20mm_21_S25","LLL_Cav_L2_20mm_21_S42","LUL_Cav_L1_15mm_12_S22","LUL_Cav_L1_15mm_12_S39","LUL_Cav_L1_15_S14","LUL_Cav_L1_15_S34","mimic_only_D42_R1_S15","R002_12_S25","R002_12_S4","R002_14_S5","R002_3_S1","R002_3_S22","R002_7_S23","R002_7_S2","R002_9_S24","R002_9_S3","R006_11_S28","R006_11_S8","R006_13_S29","R006_13_S9","R006_17_S10","R006_17_S30","R006_19_S11","R006_19_S31","R006_7_S26","R006_7_S6","R006_9_S27","R006_9_S7","R011_L1_30_S27","R011_L41_22_S23","R011_L4_27_S25","R011_L4_28_S26","R011_L5_18_S21","R011_L5_19_S22","R011_L6_12_S18","R011_R1_8_S16","R011_R1_9_S17","R011_R2_13_S19","R011_R2_14_S20","R011_R3_25_S24","R011_R4_31_S28","RLL_Cav_Cluster_R4_13mm_23_S26","RLL_Cav_Cluster_R4_13mm_23_S43","RLL_Cav_R3_18mm_X_15mm_16_S23","RLL_Cav_R3_18mm_X_15mm_16_S40","RLL_Cav_R3_28_S15","RLL_Cav_R3_28_S35","RUL_Cav_R1_30mm_X_22mm_26_S27","RUL_Cav_R1_30mm_X_22mm_26_S44","RUL_Cav_R1_30mm_X_22mm_7_S37","RUL_Cav_R2_18mm_X_12mm_27_S28","RUL_Cav_R2_18mm_X_12mm_27_S45","RUL_Cav_R2_18mm_X_12mm_8_S21","RUL_Cav_R2_18mm_X_12mm_8_S38","Stearic_acid_0_S29","Stearic_acid_0_S46","Stearic_acid_14_S30","Stearic_acid_14_S47","Stearic_acid_28_S16","Stearic_acid_28_S36","Stearic_acid_42_S17","Stearic_acid_42_S37"
"AS1726",3,1.69,8.81,13.31,0,958.815886,818.145206,1116.375286,1041.158694,1402.422832,672.685956,4.22,51.325232,79.8095,38.658692,55.289962,45.98057,22.696792,30.84251,20.966728,51.407616,70.664876,42.345376,0,20.431232,10.86439,15.39,20.22,87.409424,2,0,135.974792,2,145.448952,2.65,0,0,0,0,490.277482,0.31,346.16727,1.38,313.810954,0,803.439662,0,10.298,10.47,150.948084,522.582308,156.714964,2.15,13.47,687.08256,5.07,811.204354,1,37.113992,0.65,248.274482,25.02414,1,94.53564,9.96,2,220.53167,0,195.662,34.230552,523.509128,0,37.299356,92.239186,0,0,48.596262,0,27.08374,0,788.589946,21.739078,142.06091,0,405.02034,1,57.504032,0,374.085148,2,0.82,650.586448,6.54,845.651164,0,34.869028,2.86,213.518732,0,34.899922,1.99,26.548244,0
"AS1890",4.93,5.85,9.42,16.24,0,688.567772,842.431232,991.103904,1216.477998,1186.077342,736.702144,5.55,175.361826,192.900666,57.302402,104.692702,55.49537,0,53.661764,44.316574,62.829794,56.390028,58.710824,9.885528,48.45326,56.788638,39.91,41.45,175.707288,8.34,0,109.8392,2.81,155.829936,0.2,18.6018,0,74.4072,0,254.144878,1,436.504524,1,472.39714,0,244.43651,1,51.606708,6.31,74.858958,510.48654,363.93093,6.08,17.07,840.686206,14.43,836.779828,2,79.863728,1.49,355.126078,72.095262,1,113.346968,23.76,2.95,329.553032,0,34.5462,12.294904,133.684936,0,36.3178,199.340432,57.851598,0,30.391798,0,7.0864,0,421.95083,38.257702,0,0,234.302958,0,41.836334,0,788.866906,1.97,3.26,472.140258,6.39,219.483524,0,180.871502,6.41,20.922596,0,88.26997,15.54,119.583,1
"ASdes",30.55,8.38,42.34,35.53,0.84,1897.366528,9225.95152,1680.144448,5251.295776,4716.113888,1524.146688,5.38,2051.443968,2737.52912,8096.306336,4239.027328,2913.373952,3232.644096,3032.004544,1778.306688,1745.85328,1268.190624,1281.36176,362.477344,3748.792224,5591.700736,1075.24,1151.49,2364.693344,47.5,889.819808,8565.892352,147.3,1678.766336,22.38,1100.332064,0.38,1149.074304,1,267.365024,0.54,4238.76752,9.8,482.440864,1,955.426976,0.11,175.754464,272.58,5347.492512,6641.889856,5429.072224,52.42,21.78,1213.009664,11.23,847.120928,201.88,5338.704224,2.23,1990.569824,4635.053792,120.34,3117.775072,541.7,23.24,2974.937152,0,1213.710016,58.874752,204.333344,0,0,171.778272,55.598912,0,42.055008,0.948864,25.19008,34.972416,589.809344,1560.248704,1919.179104,1,224.530592,0,191.97552,0,1669.119552,6.03,3.61,1393.75696,20.11,804.263904,0,5572.37328,365.46,5123.312096,0,11158.97952,1190.2,2302.599232,38.66
"ASpks",2.49,2.58,8.41,7.16,1.19,879.057466,1052.128616,1154.861491,1252.825161,1399.782664,508.745195,3.02,195.045487,243.997327,286.998159,140.274617,164.042655,144.833857,132.307945,61.84969,96.109979,97.693715,86.337608,12.111981,160.41326,144.965835,138.94,131.24,343.676711,10.61,0,156.243955,3.9,115.594731,2.22,245.881013,0,140.262619,0.41,214.098311,0.86,426.876842,0,242.257617,0,294.964831,1.5,26.185635,7.58,117.466419,387.181459,319.818688,2.84,13.35,470.765526,5.26,455.000154,11.36,205.363767,1.7,315.703374,152.830524,3.23,127.988665,24.1,2.35,292.103308,0,61.1898,20.834527,90.332942,0,29.899016,81.418428,86.841524,0,27.77537,7.7987,14.049658,8.992501,342.860847,33.978336,41.045158,0,217.115808,0.5,100.345273,0,348.187959,0.62,1.08,322.356265,4.95,187.70871,0,441.70637,29.4,286.1523,0,197.049153,18.45,281.875013,3.04
"MT0009",0.92,0,0.74,0,0.7,282.79392,647.79765,517.56418,292.43561,399.48337,194.18168,2.78,121.66791,163.30001,51.34988,112.62407,56.06746,8.10902,73.42685,30.30556,45.31703,39.93638,30.93602,0,26.46845,47.99105,40.12,44.73,94.91684,0.64,0,84.04684,1.24,128.14643,1.46,0,0,42.65388,0,88.5905,0,90.34057,0.58,149.92991,0.86,255.2276,0,30.436,1,50.55637,82.45982,167.81106,0.14,8.28,379.363,3.15,284.88096,1.81,69.69844,0,371.26485,30.04468,3.62,63.33949,5.82,0,86.90565,0,206.14955,11.10914,54.21956,0,0,75.41606,0,0,1.78268,0,10.67434,0,100.55837,17.46809,46.24098,0,66.51353,0,17.47896,0,231.47665,0,0.2,229.74832,2.89,30.78384,0,66.79615,8.22,209.84535,0,68.57883,5.24,68.49187,2.32
"MT0012",1.88,2.45,12.19,7.59,0,531.417339,1230.534216,814.042605,1439.583483,977.76435,410.573217,3.08,1846.126221,2181.920442,1663.498983,1125.293931,819.126804,558.831621,670.297635,302.514231,540.29493,589.925142,533.050605,136.860666,616.347171,711.726393,1374.97,1603.58,961.993674,18.41,0,552.737607,10.59,668.550216,7.91,2078.778816,2.16,1412.362383,0.72,174.434565,0,367.22142,2,190.415985,0,421.488,0,8.649285,18.93,300.679002,394.073718,840.3417,5.61,5.45,401.923932,6.43,350.282871,24.82,720.340554,1,273.694989,604.633317,16.69,321.454848,55.26,2.01,166.092615,0,139.846206,1.993287,195.412374,0,40.83165,55.05687,0,0,0,9.729348,0,0,263.790021,71.644179,262.543119,0,175.145826,0,251.470278,1,266.459445,0.27,0.2,508.349652,6.91,112.159713,0,2331.056946,136.03,927.264819,0,825.817926,66.54,1044.640446,25.62
"MT0025",3.92,0.49,4.99,11.19,1.64,731.47034,896.3092,959.75014,1095.279084,1006.676936,625.90354,0.76,66.493636,75.033116,37.51992,60.643756,21.98748,0,21.355424,19.815628,20.797332,37.493024,14.954176,11.4308,15.26348,15.411408,28.99,33.38,79.403716,3,0,143.886876,3.95,125.812764,1.86,20.8444,0,0.356372,0,287.935128,0,246.87166,2.96,380.941496,1,753.551956,0,41.0164,6,80.566968,271.622704,244.289644,3,22.32,775.929428,13.68,871.154716,1,60.233592,2.57,788.436068,38.420936,0,51.848764,14.09,0.76,160.078268,0,65.330384,34.15792,290.665072,0,7.248472,269.995496,86.53788,0,6.724,0,17.193268,6.724,576.9192,32.840016,0,0,254.523572,1,0,0,512.079668,0,0,427.337096,8.16,319.786716,0,37.75526,1.59,148.6004,0,42.804984,1.62,58.46518,0
"MT0031",4.57,0.41,11.77,10.89,0,757.81727,1214.89305,1087.38959,1210.886425,1361.47648,502.666955,3.96,275.21718,305.98806,333.77295,272.863815,239.714265,152.513235,342.56222,157.405535,390.920075,480.398555,321.60968,25.96293,134.310505,175.928795,68.66,90.5,783.113835,13.97,0,121.877315,1.88,383.733455,1.99,175.09373,0,148.03425,0,190.183945,0.82,484.852235,0.49,521.56979,0.23,510.089755,0,58.01593,9.49,169.50976,137.583285,397.91269,1,21.64,679.21994,5.76,603.684515,8.64,233.46393,2,389.07281,151.61069,3.32,172.133045,31.92,0.23,388.558275,0,4.158455,14.76125,208.639725,0,0,197.353695,66.6365,0,2.791985,0,0,4.2175,338.538725,69.79119,267.684725,0,137.74355,0,2.32806,0,610.87957,1,2,395.07853,2.62,228.90903,0,362.95805,25.24,173.94657,0,242.96174,24.97,390.75981,5.62
"MT0032",4.31,8.97,16.72,20.69,1,1474.920224,3060.326388,2560.934232,3077.368804,3093.949744,1588.861868,5.23,1407.748636,1887.587088,930.990268,1275.305024,847.752876,661.885368,1061.920668,484.850296,605.435048,595.30404,522.347904,38.95716,438.638304,413.890312,345.04,384.22,734.304904,16.38,0,597.225068,14.97,512.302752,11.64,132.905088,0,498.01846,0,506.453812,2,570.116036,1.24,996.423272,1,1477.2598,1.18,321.809752,21.36,418.462144,871.288152,898.547432,5,39.53,1988.757652,21.45,1750.260416,17.66,578.283088,4.46,1027.546072,475.37394,17.61,653.73978,78.07,1,808.945964,0,24.426032,71.378532,428.078016,0,48.294,505.53086,25.16654,0,66.978412,0,20.3908,60.807512,1532.733508,69.317988,476.468604,0,609.963952,1,52.790708,0,1431.723924,2,3,1166.686452,12.74,924.0252,0,871.019852,31.08,1230.04818,0,885.808548,71.81,697.537072,10.49
"MT0036",3,3.5,5.97,8.57,0,482.386275,598.33062,703.741905,1061.13978,910.896975,302.825475,4.22,183.661065,206.164845,93.440565,47.318085,41.772825,37.4085,45.69705,30.154185,35.80947,34.789905,17.78004,3.6675,36.04419,34.3278,105.28,123.5,143.766,3,0,98.4357,0,110.53845,2,48.411,0,5.55993,0,153.82962,0,261.192015,0.64,342.77922,1,206.619615,1.95,17.523315,4,52.41591,362.45169,210.888585,1.93,16.58,643.77828,17.35,680.974065,2.95,82.63611,3,394.49097,58.40127,2,37.049085,5.76,0.96,217.7028,0,200.2455,18.960975,132.93954,0,0,213.97662,29.406015,0,56.912265,0,0,0,414.95562,12.638205,42.07356,0,137.28186,3,0,0,518.694525,6,6.07,332.224155,1.54,393.236685,0,114.426,3,397.520325,0,41.098005,1.58,67.11525,2
"MT0066.2",2,1.41,8.41,7.72,0,425.950874,813.451874,685.688256,858.283296,975.999816,542.53631,1,709.119848,849.583724,622.605886,631.340368,367.944418,129.641776,406.010282,211.023968,265.937398,253.286014,241.004676,7.338082,230.063882,357.289886,236.61,265.49,565.653712,25.54,0,246.241176,9.32,398.70711,3.47,550.782052,0.53,497.334842,0,181.720514,0,242.910762,1.5,213.85866,0,546.13204,4,0,17.54,221.043138,143.857128,420.511896,3,6.08,354.971862,7.91,413.522914,9.7,272.68201,1,281.611988,183.123896,11.16,134.382554,34.14,2,352.618928,2,109.6174,3.407216,113.31786,0,0,146.838442,1.927032,0,8.34349,0,7.393938,6.604972,278.386304,67.774274,388.65303,0,83.413954,0,48.1758,0,360.082686,1.45,2,327.581476,4.8,198.966054,0,867.667104,83.39,982.304562,0,311.99067,39.39,463.130024,11
"MT0069",1.93,3.82,5.65,7.97,0,417.29136,704.822592,450.635424,579.645696,581.825184,271.728192,3.3,452.639712,522.768768,977.665056,676.601376,454.636992,368.592768,850.610016,385.33488,773.585088,932.37936,792.906144,11.373984,300.25776,365.355072,161.85,171.34,958.119744,28.36,244.256832,289.64064,6.23,441.174624,5.64,252.701472,1.77,126.144,0,176.314272,0,570.212928,1.34,134.126112,0,394.44528,0.77,11.2128,34.24,460.481664,711.956736,851.759328,7.15,10.32,383.905248,2.53,259.800576,15.82,471.876672,2.09,346.783872,461.574912,13.86,421.503168,91.55,9.93,863.17536,1.93,839.130912,20.624544,173.931552,0,20.3232,52.987488,71.607744,0,19.293024,0,10.448928,0,274.32816,171.247488,105.799776,0,81.026496,0,18.942624,0,262.526688,1.49,1.41,303.502464,2.22,306.621024,0,625.56912,39.12,176.46144,0,501.583584,66.15,822.395808,22.16
"MT0099.1",4,4.39,3,6.23,0,1000.103598,1272.685266,1040.90949,1217.013012,1597.906746,747.629028,3.65,254.387016,335.94597,77.702364,264.6783,97.492482,4.2264,114.757326,36.537228,59.6979,71.415594,50.621706,41.017212,44.366634,44.461728,87.7,97.81,160.349616,2.24,0,187.990272,7.22,171.824292,2.41,3.423384,0,0,0,723.961188,0,521.992098,1,651.478428,0,794.890746,0,0,8.07,202.70871,335.280312,374.152626,2.16,10.59,774.889308,8.66,991.524006,8.04,170.968446,2.04,519.033618,62.085816,2.78,175.152582,27.95,2,344.441034,0,30.58857,36.368172,558.04329,0,76.0752,273.511476,48.65643,0,5.283,6.3396,47.874546,7.3962,714.219336,39.136464,105.66,0,500.342364,1,945.773226,0.84,660.74481,1,2.04,1314.843606,11.2,650.91843,0,102.891708,6.85,83.376306,0,162.040176,6.38,214.320744,1.7
"MT0116.1",2.45,1.12,4.43,3.14,0,214.946592,584.600016,184.420992,346.538976,597.042096,175.124208,0.64,745.929744,914.941104,626.19984,804.52344,661.880016,288.818544,579.36816,303.957696,326.453904,241.878672,262.164672,36.916656,282.18792,422.420208,1101.62,1286.23,569.32176,9.85,0,351.183504,3.14,346.322592,6.57,369.970272,0.26,349.838832,0.49,117.743808,0,215.37936,0.31,121.623264,0,16.785216,0,75.96624,6.23,119.018928,205.417968,507.22728,4.12,2.82,247.056432,3.95,278.988528,11.39,439.730928,0.43,278.988528,356.02896,10.65,243.77976,43.36,0.16,62.426784,0,19.47456,16.166976,53.717328,0,0,98.779296,0,0,0,0,0,0,143.47032,28.454496,46.723488,0,59.088288,0,6.205584,0,227.110464,0,0.91,202.288128,2.57,80.077536,0,430.472784,25.43,374.784816,0,673.410192,59.7,489.99384,7.39
"MT0122",18.91,28,37.43,40.09,2,3895.5723,4385.88924,4908.02328,6637.44738,5431.95876,2323.11534,25.57,1532.44998,1949.44998,3437.27262,2174.02116,1293.88428,697.49088,729.1662,299.41434,324.12576,397.72626,272.23428,52.15836,1052.79156,1372.69728,1279.46,1419.53,1714.1202,30.86,0,1256.87136,27.76,1236.84702,23.82,1464.504,5,1822.29834,2,917.80866,1,1830.41316,5,2330.55462,2,1866.6588,3,194.08848,21,284.1021,2146.07382,1952.61918,15,98.88,4156.03884,88.77,4623.62928,24.36,725.37984,11.73,2699.02416,509.95764,15.35,818.3208,151.84,13.76,1583.00706,2,588.67056,147.69306,1060.91472,15.012,146.784,1577.01894,510.34128,0,329.45502,0,133.44,83.4,3117.80892,188.28384,172.66302,0,1273.75152,6,897.1338,0.03,4440.5079,12,15.95,3193.53612,41.89,1806.8193,0,1095.55908,62.45,760.09926,0,1289.62254,130.11,1334.62518,32.86
"MT0124",1.95,4.22,8.12,8.22,1.5,927.654585,771.794127,1293.175845,1211.281071,1237.065297,462.677085,2.47,312.533403,392.117973,159.247452,233.868999,122.881317,154.881558,132.112344,59.076615,112.37772,127.491936,72.556068,10.728744,76.510824,77.13732,187.81,214.73,395.857371,9.82,0,228.37737,4.91,216.072597,2.01,199.255095,0,174.723861,0,265.555992,1,423.286149,0,556.817898,0,436.941804,0,0,17.72,261.767649,255.718047,424.137792,1.99,12.31,944.031582,16.07,900.29433,1.22,209.181141,1,455.854152,162.4974,3.62,257.4507,42.27,1,357.905418,0,67.495155,28.906917,316.820985,0,22.5147,114.032061,99.896745,0,18.099861,0,23.894949,16.142061,562.37805,24.893427,93.064023,0,184.561806,0,0,0.38,538.737615,1,1.27,484.036683,2.68,346.638279,0,110.038149,3.64,457.332291,0,224.618394,5.03,353.392689,2.55
"MT0130",7,9.86,14.22,14,0,1601.274667,2251.002244,2297.073633,2716.212578,2904.471137,1201.503039,6,693.619392,828.023595,145.087548,304.153545,225.354222,70.012379,260.467674,92.07413,387.758228,418.014834,240.825765,11.163881,57.029326,57.055069,223.59,266.12,820.927108,21.78,0,203.738683,8,306.581968,5.22,332.0847,1,0,0,448.863529,1,612.949411,1,954.044161,1,826.745026,0,7.29385,35.53,607.920945,426.604415,604.402735,6,26.46,1047.91172,11.27,897.495371,4.3,194.823024,5,495.363968,192.840813,7.38,190.601172,35.68,7.03,1181.166069,1,277.930009,31.028896,431.487004,0,71.2223,542.808317,17.162,0,74.6547,0,54.137529,67.721252,695.335592,52.936189,313.052042,0,388.590585,3,149.3094,0,941.567387,3.16,4.42,1120.721505,12.86,768.325578,0,246.506387,7.43,172.898569,0,162.567045,11.96,370.742105,3.54
"MT0159",0.84,0.04,0.63,4.31,1.66,178.69497,267.62022,163.55422,322.04162,353.5685,90.47771,1.13,50.06257,50.59143,49.20104,48.85984,31.74866,1.33068,37.93291,25.7606,30.0256,31.68895,18.67217,0,43.27269,38.59825,29.57,33.58,72.97415,0.88,0,49.18398,0.71,91.76574,0,9.43418,0,0,0,146.57099,0,102.8718,0,109.62756,0,75.89141,0,34.81093,7.24,85.69238,123.13908,73.00827,0.65,4.67,172.45101,2.52,194.69725,2.16,32.76373,0,18.31391,34.39296,0.19,57.19365,9.49,1.88,88.24285,0.23,5.83452,13.46034,62.41401,0,2.09838,35.00712,24.76259,0,25.47058,0,4.42707,0,263.61965,13.38357,191.23407,0,161.88234,0.14,115.94829,0.23,158.93096,2,0.17,423.96659,7.08,320.1309,0,82.36568,9.52,123.67647,0,50.60849,3.51,72.99121,1.79
"MT0177",10.28,4.8,32.59,36.04,1.5,3185.09506,3973.107964,4462.467828,4895.054136,4604.876136,1571.29084,10.77,6938.34022,8611.248632,2665.980436,3753.29122,2360.547364,2055.01296,2124.434592,952.84322,1627.889368,1345.486296,1170.126664,215.183108,886.01016,911.71164,5882.07,6120.97,2487.949324,44.66,2232.0676,1108.977408,22.54,1289.044372,15.68,2372.292664,2.88,2205.647584,1.34,1280.440364,1.5,2058.92806,5.54,1806.832468,3,2213.938384,1.5,353.317048,87.8,2204.367116,1517.07822,2134.779668,21.59,53.66,2606.968364,32.57,2466.384032,70.28,2613.941848,2.55,2041.775316,2028.933788,53.65,1427.362552,193.45,5.81,1044.59474,1,254.638104,80.218096,1039.776864,7.3696,136.7982,611.529408,156.954056,0,51.31084,6.558944,73.585456,23.941988,1939.936656,201.678316,590.424716,0,1039.178084,2.5,417.837896,0,2290.51774,2,7.5,2289.218848,22.89,1842.363152,0,2643.89006,140.81,3231.744628,0,1570.793392,112.76,1795.529344,29.68
"MT0204.1",0.43,1.31,0.47,3.35,1,337.491947,438.668243,598.186368,432.806777,504.983778,353.09612,0,8.660184,27.247896,16.889119,21.685664,10.112349,0.396045,15.357745,3.247569,12.162982,13.835172,9.522682,2.279459,4.910958,13.808769,9.93,16.38,39.736515,0.51,0,56.15038,1.14,62.31108,1.62,35.960886,0,1.258543,0,126.355957,0.14,123.205199,1,113.031243,0,289.588104,1,30.18743,0.01,39.296465,231.527907,87.974796,0,6.55,315.445442,1.66,268.025654,3.23,19.934265,2.16,190.823282,8.959418,1.86,40.475799,10.8,1,114.914657,0,0,9.94513,55.287882,13.2015,0,108.648345,0,0,0,0,21.245614,0,204.684857,16.405064,0,0,80.150707,0,15.304939,0,234.81068,1.03,1.85,204.940086,0.12,233.200097,0,7.947303,4.26,128.485799,0,25.241268,2.55,11.70533,0
"MT0270",2.86,0,2.64,3.89,0,177.109528,458.763416,359.878952,467.767796,536.972888,152.52874,0,605.187888,774.797664,350.126156,916.115756,564.219908,814.44812,554.856912,330.753096,669.40354,628.536908,507.277924,17.96978,144.639188,135.798524,256.81,308.92,502.68608,12.01,0,228.570924,5.65,189.770232,4.68,158.188636,1,173.390836,0.46,143.867384,0,244.139536,0.54,224.189572,2.31,206.36012,1.77,18.7104,19.14,352.14532,227.003928,246.213272,1.68,7.16,333.606432,3.03,255.225448,15.91,437.168496,0.54,137.006904,302.102796,13.2,387.125972,63.15,2.7,218.295796,0,13.962636,17.291528,139.244356,0,1.613772,51.671888,0,0,14.157536,0,10.010064,0,203.530172,30.24848,64.55088,0,173.843004,2,16.909524,0,195.539272,0.78,0,228.742436,4.66,95.688104,0,351.186412,19.92,233.482404,0,370.6998,36.66,387.73406,3.58
"MT0270.2",4.23,1.5,13.67,15.86,2.5,948.721488,1532.714568,1624.842384,1634.839932,1970.973708,902.39325,2.84,1094.261586,1200.393018,411.990612,556.890444,382.60299,212.409714,524.507082,278.098656,810.488646,1022.557668,717.2154,38.23974,186.564114,227.053596,410.75,479.48,1140.883524,21.6,0,325.307994,8.63,603.717972,13.73,542.704734,1.01,308.332134,2,368.517138,0,711.42951,2.44,569.525418,0,1430.912274,0.56,55.004136,38.79,779.526792,495.900702,771.996324,8.85,19.74,817.625556,10.27,655.532526,22.18,500.270958,0,584.674464,398.398176,14.78,411.174126,65.85,5.18,665.136516,1,138.908352,39.56139,260.459034,4.710948,57.894144,202.500276,1.033824,0,11.060742,0,22.914474,2.737284,480.005658,85.883754,202.365174,0,393.187938,1.57,34.409892,0,610.555308,0.67,0.21,581.807952,7.5,197.10207,0,488.54058,25.25,882.879822,0,400.365966,31.93,878.844384,10.28
"MT0291.1",0.73,0.38,3.44,2.75,0.28,254.426093,415.182352,357.031971,322.715447,523.538495,215.919146,0.26,97.675191,128.739841,94.700916,126.823086,70.272204,25.697736,71.567666,49.320089,51.223625,43.609481,35.440139,24.098237,36.153965,35.16254,19.9,27.23,97.357935,1.16,0,53.774892,1.49,108.646961,2.04,0.158628,0,21.81135,0,167.762329,0,151.516178,0,101.91849,0,271.108471,0.45,44.323307,6.52,202.924869,253.580077,263.560422,2.24,2.93,195.813047,1.43,138.614434,10.8,285.92697,0,79.71057,225.013818,4.08,102.566221,12.53,1.51,161.417209,0,103.610522,3.489816,82.631969,0,0,69.13537,92.427248,0,0.66095,0,2.961056,0,327.104155,18.295096,107.972792,0,100.318991,1.44,145.091744,0,194.821622,0,0.03,129.704828,2.3,80.847404,0,99.340785,5.68,0,0,65.196108,4.84,82.103209,0.94
"MT0291.2",0.39,0.26,2.02,1.11,0.34,62.983555,152.40058,139.22507,104.307495,112.107265,99.690295,0.35,36.47588,54.853985,32.73265,47.713815,29.8469,18.543005,35.27211,17.08364,20.7774,15.94583,16.07775,1.508835,9.539465,9.588935,10.65,16.47,34.4641,0.68,0,33.4747,0.12,22.52534,0.34,0,0,0,0,38.53713,0,55.134315,0,36.75621,0,35.23913,0.16,58.481785,3.09,86.70442,68.243865,101.95767,0.78,1.76,61.878725,1.46,35.33807,2.95,93.84459,0.5,42.49473,63.906995,2.32,41.8846,5.79,0.12,47.219115,0,27.958795,0.717315,34.7939,0,0,13.88458,39.221465,0,0.057715,0,4.947,0,88.91408,4.81508,48.4806,0,36.616045,0.29,33.55715,0,60.938795,0,0,56.568945,0.53,64.715005,0,43.822175,2.77,0,0,22.945835,1.84,26.49943,0.28
"MT0291.4",1,0.51,2.41,6.99,0,568.102872,767.512266,618.140004,579.749832,1418.342151,466.740723,1,414.687771,581.978433,147.546825,752.639994,425.472408,926.358882,680.596827,474.680814,966.69768,615.698622,845.210928,37.707033,69.937755,47.584551,46.49,48.89,317.693232,1.93,0,207.237495,0.9,310.962633,2.69,215.0208,0,46.599039,0,368.290314,0,531.448545,0,208.032624,0,449.247885,0,454.746594,34.8,1622.354334,875.750601,356.721747,3.76,4.77,362.007675,1,358.289607,20.46,1076.739054,0.33,296.459928,656.283798,7.96,770.71518,61.26,2.15,496.462869,0,603.771687,139.360356,342.476619,3.706869,34.806492,206.072799,32.656284,0,27.874311,0,83.242167,19.206285,554.79846,10.717443,142.731255,0,398.393226,1.31,56.55495,0,195.444948,0,2.19,265.270713,3.18,216.02871,0,125.260815,3.78,1151.693961,0,236.870049,19.85,232.446444,0.83
"MT0294",19.51,3.12,36.18,62.08,0.45,1079.64549,8000.895866,815.581076,3498.582028,6842.28693,512.766694,4.15,1070.930524,1381.572324,1176.879206,1124.608294,691.29603,762.743644,889.219234,493.703296,546.351888,527.449004,489.341092,69.247628,477.991808,486.036392,2426.72,2791.77,1126.798838,24.58,0,838.147456,11.22,496.93246,7.23,1052.518624,0.81,1250.87616,1.04,255.623266,0.77,8191.001094,22.34,92.701556,0,314.022036,0,76.470758,305.62,4192.361304,2351.662288,4467.491742,27.7,14.64,645.247396,4.11,263.696176,348.65,7209.099188,6.5,926.156338,7473.040856,308.8,3121.704598,1192.68,25.26,3666.555208,0,246.9083,0.915874,216.325662,0,74.110258,135.266092,153.677992,0,0,0,15.39046,9.149298,145.59564,955.360444,372.855138,0,98.272336,0,59.182456,1,1821.446778,7.31,4.28,1138.969576,17.99,329.488032,0,3076.25081,315.77,556.671994,0,1211.380274,123.22,823.408494,15.81
"MT0325",2.54,1.35,3.86,6.68,0,340.735626,371.000574,556.296174,552.755448,488.706372,374.024196,0.01,61.305552,73.206126,30.66714,27.119232,20.892438,0.25137,46.747638,10.44981,47.86803,59.883516,40.018104,0.028728,14.091084,17.02134,23.93,25.43,75.023172,0,0,42.431256,0.76,67.805262,1,0,0,0,0,63.194418,0,84.89124,0,183.449826,0,351.982638,0.84,0,2.11,59.675238,94.256568,54.418014,0,11.84,340.670988,1.38,233.55864,2.34,30.229038,0,164.403162,5.846148,0.09,39.113172,7.95,0,84.42441,0,191.486484,0.603288,175.74354,13.6458,0,47.889576,2.449062,0,8.955954,0,9.631062,6.21243,180.907398,24.45471,51.222024,0,93.746646,1.73,36.075186,0,226.972746,0,0.92,219.539376,3.04,29.755026,0,27.18387,1.36,18.342828,0,15.994314,2.3,54.813024,0.14
"MT0328.1",2.73,2.45,9.22,19.85,0,891.92019,1346.95995,961.80336,1607.51157,1828.16865,830.65164,2.88,1559.44488,1956.09666,2086.28217,1737.83253,1157.15838,829.46871,1472.24217,677.11455,1010.98977,999.44943,864.76698,76.38477,845.56017,1004.09988,1000.32,1101.46,1731.82758,41.42,0,1085.99295,25.47,934.11738,16.64,675.96774,0,314.28012,0,513.15684,0,1071.12054,3.2,624.71346,1,1190.32557,0.68,72.72762,31.27,745.98636,420.75285,1187.65269,4.28,14.22,850.90593,6.47,700.24941,43.78,1136.49774,3.95,627.14253,1108.26996,25.26,944.66442,157.81,0.97,502.71816,0,687.56226,33.6819,465.01791,16.254,0,308.41062,29.1669,0,41.23098,0,44.91522,21.35595,663.42507,154.81935,341.67714,0,434.63196,2,0,0,704.69217,1,2.81,1101.86769,16.11,564.51045,0,1509.22905,92.26,1131.41385,0,1603.04172,149.35,1219.63695,23.01
